2018-09-17 14:35:42 INFO  SingleDraftPanel:153 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:35:42 ERROR SingleDraftPanel:154 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:35:42 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:42 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:42 INFO  SingleDraftPanel:153 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:42 ERROR SingleDraftPanel:154 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:42 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:42 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:42 INFO  SingleDraftPanel:153 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:42 ERROR SingleDraftPanel:154 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:42 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:42 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:44 INFO  SingleDraftPanel:153 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:44 ERROR SingleDraftPanel:154 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:35:44 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:35:44 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:01 INFO  SingleDraftPanel:153 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:01 ERROR SingleDraftPanel:154 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:01 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:01 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:11 INFO  SingleDraftPanel:153 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:11 ERROR SingleDraftPanel:154 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:11 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:11 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:13 INFO  SingleDraftPanel:153 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:13 ERROR SingleDraftPanel:154 - Panel Width: 1330 - 	 Panel Height: 96
2018-09-17 14:45:13 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:45:13 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 INFO  SingleDraftPanel:153 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:48:25 ERROR SingleDraftPanel:154 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:48:25 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 INFO  SingleDraftPanel:153 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:48:25 ERROR SingleDraftPanel:154 - Panel Width: 660 - 	 Panel Height: 96
2018-09-17 14:48:25 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 INFO  SingleDraftPanel:153 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 ERROR SingleDraftPanel:154 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 INFO  SingleDraftPanel:153 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 ERROR SingleDraftPanel:154 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 ERROR SingleDraftPanel:157 - Image Width: 1366 - 	 Image Height: 768
2018-09-17 14:48:25 INFO  SingleDraftPanel:153 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 ERROR SingleDraftPanel:154 - Panel Width: 436 - 	 Panel Height: 96
2018-09-17 14:48:25 INFO  SingleDraftPanel:156 - Image Width: 1366 - 	 Image Height: 768
